utc_time_id,source_id,primary_link_source_flag,avg_speed,avg_flow,avg_occ,avg_freeflow_speed,avg_travel_time,high_quality_samples,samples_below_100pct_ff,samples_below_95pct_ff,samples_below_90pct_ff,samples_below_85pct_ff,samples_below_80pct_ff,samples_below_75pct_ff,samples_below_70pct_ff,samples_below_65pct_ff,samples_below_60pct_ff,samples_below_55pct_ff,samples_below_50pct_ff,samples_below_45pct_ff,samples_below_40pct_ff,samples_below_35pct_ff,samples_below_30pct_ff,samples_below_25pct_ff,samples_below_20pct_ff
16/02/2016 5:46,402266,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
12/07/2016 4:20,402267,1,0.975,0,1,0.0067,71,1,0.0289,60,,,,,,,,,,,,,,,
13/07/2016 14:55,402272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
25/03/2016 0:57,402271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
19/05/2016 19:41,402269,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
01/07/2016 16:41,402267,0,0,0,16,0.1078,65,9,0.0772,56,,,,,,,,,,,,,,,
30/03/2016 14:03,402262,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
25/05/2016 10:51,402266,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
10/08/2016 14:37,402269,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
20/02/2016 19:04,402266,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
09/05/2016 19:42,402269,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
04/01/2016 11:08,402272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
01/04/2016 14:44,402271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
16/02/2016 3:55,402263,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
17/08/2016 20:27,402272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
09/05/2016 10:43,402268,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
04/07/2016 9:48,402272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
24/03/2016 18:46,402270,9,0.05,71,10,0.0694,65,10,0.11,60,7,0.12,56,,,,,,,,,,,,
04/07/2016 15:33,402271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
29/02/2016 1:51,402261,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
20/01/2016 10:37,402260,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
04/07/2016 5:27,402270,1,0,86,2,0.01,78,2,0.01,109,0,0,0,,,,,,,,,,,,
11/08/2016 3:24,402265,3,0.02,71,3,0.02,71,1,0.03,65,,,,,,,,,,,,,,,
10/08/2016 6:15,402272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
16/03/2016 7:22,402265,3,0.02,86,8,0.05,78,3,0.03,56,,,,,,,,,,,,,,,
02/06/2016 4:11,402271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
20/02/2016 15:08,402271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
08/06/2016 17:07,402265,7,0.05,71,11,0.06,71,9,0.0694,65,,,,,,,,,,,,,,,
27/07/2016 16:36,402263,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
28/01/2016 9:16,402272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
28/07/2016 2:08,402265,0,0,0,3,0.02,71,2,0.03,65,,,,,,,,,,,,,,,
14/07/2016 0:26,402271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
18/06/2016 4:08,402271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
25/03/2016 1:29,402263,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
13/02/2016 1:13,402263,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
25/05/2016 23:32,402272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
13/07/2016 1:01,402262,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
20/02/2016 7:15,402268,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
25/05/2016 23:02,402270,10,0.06,78,7,0.04,71,6,0.05,60,4,0.03,71,,,,,,,,,,,,
12/02/2016 19:49,402272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
28/01/2016 3:39,402266,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
04/07/2016 3:12,402264,4,0.02,109,5,0.03,78,3,0.03,71,,,,,,,,,,,,,,,
09/06/2016 2:13,402269,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
31/07/2016 16:43,402271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
01/04/2016 8:53,402270,5,0.03,78,4,0.03,65,2,0.01,71,0,0,0,,,,,,,,,,,,
02/06/2016 11:29,402265,9,0.06,65,3,0.02,71,4,0.06,71,,,,,,,,,,,,,,,
02/07/2016 2:32,402270,4,0.02,78,4,0.03,71,2,0.01,60,0,0,0,,,,,,,,,,,,
13/07/2016 8:00,402262,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
09/05/2016 4:42,402262,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
11/08/2016 7:59,402266,3,0.01,86,0,0,0,4,0.0694,52,,,,,,,,,,,,,,,
24/03/2016 18:40,402263,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
17/08/2016 14:09,402269,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
18/06/2016 16:32,402260,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
28/01/2016 5:23,402260,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
